"Aerospatiale (Nord) 262","ND2","N262",0,0
"Aerospatiale (Sud Aviation) Se.210 Caravelle","CRV","S210",0,0
"Aerospatiale SN.601 Corvette","NDC","S601",0,0
"Aerospatiale/Alenia ATR 42-300","AT4","AT43",0,0
"Aerospatiale/Alenia ATR 42-500","AT5","AT45",0,0
"Aerospatiale/Alenia ATR 42-600","ATR","AT46",0,0
"Aerospatiale/Alenia ATR 72","AT7","AT72",0,0
"Airbus A300","AB3","A30B",0,0
"Airbus A300-600","AB6","A306",0,0
"Airbus A300-600ST Super Transporter / Beluga","ABB","A3ST",0,0
"Airbus A310","310","A310",0,0
"Airbus A318","318","A318",56000000,132
"Airbus A319","319","A319",89000000,156
"Airbus A319neo","31N","A19N",102000000,160
"Airbus A320","320","A320",101000000,180
"Airbus A320neo","32N","A20N",110000000,194
"Airbus A321","321","A321",114000000,230
"Airbus A321neo","32Q","A21N",125000000,244
"Airbus A330","330",\N,0,0
"Airbus A330-200","332","A332",238000000,406
"Airbus A330-300","333","A333",264000000,440
"Airbus A330-700 Beluga XL",\N,"A337",0,0
"Airbus A330-800neo","338","A338",300000000,406
"Airbus A330-900neo","339","A339",350000000,440
"Airbus A340","340",\N,0,0
"Airbus A340-200","342","A342",191000000,250
"Airbus A340-300","343","A343",270000000,440
"Airbus A340-500","345","A345",297000000,375
"Airbus A340-600","346","A346",313000000,475
"Airbus A350","350",\N,0,0
"Airbus A350-1000","351","A35K",317000000,480
"Airbus A350-900","359","A359",366000000,380
"Airbus A380","380",\N,0,0
"Airbus A380-800","388","A388",432000000,868
"Antonov AN-12","ANF","AN12",0,0
"Antonov AN-124 Ruslan","A4F","A124",0,0
"Antonov AN-140","A40","A140",0,0
"Antonov An-148","A81","A148",0,0
"Antonov An-158","A58","A158",0,0
"Antonov An-225 Mriya","A25","A225",0,0
"Antonov AN-24","AN4","AN24",0,0
"Antonov AN-26","A26","AN26",0,0
"Antonov AN-28","A28","AN28",0,0
"Antonov AN-30","A30","AN30",0,0
"Antonov AN-32","A32","AN32",0,0
"Antonov AN-72","AN7","AN72",0,0
"Avro RJ100","AR1","RJ1H",0,0
"Avro RJ70","AR7","RJ70",0,0
"Avro RJ85","AR8","RJ85",0,0
"BAe 146","146",\N,0,0
"BAe 146-100","141","B461",0,0
"BAe 146-200","142","B462",0,0
"BAe 146-300","143","B463",0,0
"Beechcraft 1900","BEH","B190",0,0
"Beechcraft Baron",\N,"BE58",0,0
"Beechcraft Baron / 55 Baron",\N,"BE55",0,0
"Bell 212","BH2","B212",0,0
"Boeing 707","703","B703",0,0
"Boeing 717","717","B712",0,0
"Boeing 720B","B72","B720",0,0
"Boeing 727","727",\N,0,0
"Boeing 727-100","721","B721",22000000,149
"Boeing 727-200","722","B722",22000000,189
"Boeing 737","737",\N,0,0
"Boeing 737 MAX 10","7MJ",\N,134000000,230
"Boeing 737 MAX 7","7M7","B37M",100000000,172
"Boeing 737 MAX 8","7M8","B38M",12000000,210
"Boeing 737 MAX 9","7M9","B39M",124000000,220
"Boeing 737-200","732","B732",27000000,119
"Boeing 737-300","733","B733",29000000,149
"Boeing 737-400","734","B734",31000000,188
"Boeing 737-500","735","B735",35000000,126
"Boeing 737-600","736","B736",80000000,149
"Boeing 737-700","73G","B737",90000000,155
"Boeing 737-800","738","B738",106000000,189
"Boeing 737-900","739","B739",112000000,215
"Boeing 747","747",\N,0,0
"Boeing 747 LCF Dreamlifter","74B","BLCF",0,0
"Boeing 747-100","741","B741",146000000,480
"Boeing 747-200","742","B742",175000000,480
"Boeing 747-300","743","B743",219000000,608
"Boeing 747-400","744","B744",260000000,568
"Boeing 747-400D","74J","B74D",260000000,300
"Boeing 747-8","748","B748",357000000,620
"Boeing 747SP","74L","B74S",0,0
"Boeing 747SR","74R","B74R",0,0
"Boeing 757","757",\N,0,0
"Boeing 757-200","752","B752",65000000,239
"Boeing 757-300","753","B753",80000000,295
"Boeing 767","767",\N,0,0
"Boeing 767-200","762","B762",200000000,290
"Boeing 767-300","763","B763",217000000,351
"Boeing 767-400","764","B764",220000000,375
"Boeing 777","777",\N,0,0
"Boeing 777-200","772","B772",306000000,440
"Boeing 777-200LR","77L","B77L",346000000,440
"Boeing 777-300","773","B773",375000000,550
"Boeing 777-300ER","77W","B77W",375000000,550
"Boeing 777-8","778","B778",0,0
"Boeing 777-9","779","B779",0,0
"Boeing 787","787",\N,0,0
"Boeing 787-10","78J","B78X",226000000,350
"Boeing 787-8","788","B788",216000000,242
"Boeing 787-9","789","B789",206000000,290
"Bombardier 415",\N,"CL2T",0,0
"Bombardier BD-100 Challenger 300",\N,"CL30",0,0
"Bombardier CS100","CS1","BCS1",0,0
"Bombardier CS300","CS3","BCS3",0,0
"Bombardier Global Express","CCX","GLEX",0,0
"British Aerospace (BAC) One Eleven","B11","BA11",0,0
"British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900","H25","H25B",0,0
"British Aerospace 125-1000 series / Hawker/Raytheon 1000","H25","H25C",0,0
"British Aerospace ATP","ATP","ATP",0,0
"British Aerospace Jetstream 31","J31","JS31",0,0
"British Aerospace Jetstream 32","J32","JS32",0,0
"British Aerospace Jetstream 41","J41","JS41",0,0
"Canadair Challenger","CCJ","CL60",0,0
"Canadair CL-44","CL4","CL44",0,0
"Canadair Regional Jet 100","CR1","CRJ1",0,0
"Canadair Regional Jet 1000","CRK","CRJX",0,0
"Canadair Regional Jet 200","CR2","CRJ2",0,0
"Canadair Regional Jet 700","CR7","CRJ7",0,0
"Canadair Regional Jet 900","CR9","CRJ9",0,0
"Cessna 152",\N,"C152",0,0
"Cessna 172","CN1","C172",0,0
"Cessna 182 Skylane","CN1","C182",0,0
"Cessna 208 Caravan","CN1","C208",0,0
"Cessna 210 Centurion","CN1","C210",0,0
"Cessna Citation CJ3","CNJ","C25B",0,0
"Cessna Citation CJ4","CNJ","C25C",0,0
"Cessna Citation Excel","CNJ","C56X",0,0
"Cessna Citation I","CNJ","C500",0,0
"Cessna Citation II","CNJ","C550",0,0
"Cessna Citation Mustang","CNJ","C510",0,0
"Cessna Citation Sovereign","CNJ","C680",0,0
"Cessna Citation X","CNJ","C750",0,0
"COMAC C-919",\N,"C919",0,0
"Concorde","SSC","CONC",0,0
"Dassault Falcon 2000","D20","F2TH",0,0
"Dassault Falcon 50","DF3","FA50",0,0
"Dassault Falcon 7X","DF7","FA7X",0,0
"Dassault Falcon 900","DF9","F900",0,0
"De Havilland Canada DHC-2 Beaver","DHP","DHC2",0,0
"De Havilland Canada DHC-2 Turbo-Beaver","DHR","DH2T",0,0
"De Havilland Canada DHC-3 Otter","DHL","DHC3",0,0
"De Havilland Canada DHC-4 Caribou","DHC","DHC4",0,0
"De Havilland Canada DHC-6 Twin Otter","DHT","DHC6",0,0
"De Havilland Canada DHC-7 Dash 7","DH7","DHC7",0,0
"De Havilland Canada DHC-8-100 Dash 8 / 8Q","DH1","DH8A",10000000,37
"De Havilland Canada DHC-8-200 Dash 8 / 8Q","DH2","DH8B",12000000,50
"De Havilland Canada DHC-8-300 Dash 8","DH3","DH8C",14000000,60
"De Havilland Canada DHC-8-400 Dash 8Q","DH4","DH8D",32000000,90
"De Havilland DH.104 Dove","DHD","DOVE",0,0
"De Havilland DH.114 Heron","DHH","HERN",0,0
"Douglas DC-10","D10","DC10",0,0
"Douglas DC-3","D3F","DC3",0,0
"Douglas DC-6","D6F","DC6",0,0
"Douglas DC-8-50","D8T","DC85",0,0
"Douglas DC-8-62","D8L","DC86",0,0
"Douglas DC-8-72","D8Q","DC87",0,0
"Douglas DC-9-10","D91","DC91",0,0
"Douglas DC-9-20","D92","DC92",0,0
"Douglas DC-9-30","D93","DC93",0,0
"Douglas DC-9-40","D94","DC94",0,0
"Douglas DC-9-50","D95","DC95",0,0
"Embraer 170","E70","E170",41000000,80
"Embraer 175","E75",\N,0,0
"Embraer 175 (long wing)","E7W","E75L",45000000,80
"Embraer 175 (short wing)","E7W","E75S",0,0
"Embraer 190","E90","E190",50000000,114
"Embraer 195","E95","E195",53000000,122
"Embraer E190-E2","290","E290",0,0
"Embraer E195-E2","295","E295",0,0
"Embraer EMB 110 Bandeirante","EMB","E110",0,0
"Embraer EMB 120 Brasilia","EM2","E120",0,0
"Embraer Legacy 450",\N,"E545",0,0
"Embraer Legacy 600","ER3","E35L",0,0
"Embraer Phenom 100","EP1","E50P",0,0
"Embraer Phenom 300","EP3","E55P",0,0
"Embraer RJ135","ER3","E135",0,0
"Embraer RJ140","ERD","E135",0,0
"Embraer RJ145","ER4","E145",0,0
"Fairchild Dornier 328JET","FRJ","J328",0,0
"Fairchild Dornier Do.228","D28","D228",0,0
"Fairchild Dornier Do.328","D38","D328",0,0
"Fokker 100","100","F100",0,0
"Fokker 50","F50","F50",0,0
"Fokker 70","F70","F70",0,0
"Fokker F27 Friendship","F27","F27",0,0
"Fokker F28 Fellowship","F21","F28",0,0
"Gulfstream Aerospace G-159 Gulfstream I","GRS","G159",0,0
"Gulfstream G280","GR3","G280",0,0
"Gulfstream G650","GJ6","GLF6",0,0
"Gulfstream IV","GJ4","GLF4",0,0
"Gulfstream V","GJ5","GLF5",0,0
"Gulfstream/Rockwell (Aero) Commander","ACP","AC68",0,0
"Gulfstream/Rockwell (Aero) Turbo Commander","ACT","AC90",0,0
"Harbin Yunshuji Y12","YN2","Y12",0,0
"Hawker Siddeley HS 748","HS7","A748",0,0
"Ilyushin IL114","I14","I114",0,0
"Ilyushin IL18","IL8","IL18",0,0
"Ilyushin IL62","IL6","IL62",0,0
"Ilyushin IL76","IL7","IL76",0,0
"Ilyushin IL86","ILW","IL86",0,0
"Ilyushin IL96","I93","IL96",0,0
"Learjet 35","LRJ","LJ35",0,0
"Learjet 60","LRJ","LJ60",0,0
"Lockheed L-1011 Tristar","L10","L101",0,0
"Lockheed L-1049 Super Constellation","L49","CONI",0,0
"Lockheed L-182 / 282 / 382 (L-100) Hercules","LOH","C130",0,0
"Lockheed L-188 Electra","LOE","L188",0,0
"McDonnell Douglas MD-11","M11","MD11",132000000,410
"McDonnell Douglas MD-81","M81","MD81",41000000,155
"McDonnell Douglas MD-82","M82","MD82",43000000,172
"McDonnell Douglas MD-83","M83","MD83",45000000,172
"McDonnell Douglas MD-87","M87","MD87",47000000,139
"McDonnell Douglas MD-88","M88","MD88",48000000,155
"McDonnell Douglas MD-90","M90","MD90",50000000,172
"NAMC YS-11","YS1","YS11",0,0
"Partenavia P.68","PN6","P68",0,0
"Pilatus Britten-Norman BN-2A Mk III Trislander","BNT","TRIS",0,0
"Pilatus Britten-Norman BN-2A/B Islander","BNI","BN2P",0,0
"Pilatus PC-12","PL2","PC12",0,0
"Pilatus PC-6 Turbo Porter","PL6","PC6T",0,0
"Piper PA-28 (above 200 hp)",\N,"P28B",0,0
"Piper PA-28 (up to 180 hp)",\N,"P28A",0,0
"Piper PA-31 Navajo","PA2","PA31",0,0
"Piper PA-44 Seminole",\N,"PA44",0,0
"Piper PA-46","PAG","PA46",0,0
"Saab 2000","S20","SB20",0,0
"Saab SF340A/B","SF3","SF34",0,0
"Shorts SC-5 Belfast","SHB","BELF",0,0
"Shorts SC-7 Skyvan","SHS","SC7",0,0
"Shorts SD.330","SH3","SH33",0,0
"Shorts SD.360","SH6","SH36",0,0
"Sikorsky S-58T","S58","S58T",0,0
"Sikorsky S-61","S61","S61",0,0
"Sikorsky S-76","S76","S76",0,0
"Sikorsky S-92","S92","S92",0,0
"Sukhoi Superjet 100-95","SU9","SU95",0,0
"Tupolev Tu-134","TU3","T134",0,0
"Tupolev Tu-144",\N,"T144",0,0
"Tupolev Tu-154","TU5","T154",0,0
"Tupolev Tu-204","T20","T204",0,0
